pricing_scenario,version,pricing_scenario_name,date,variable,Crude oil,Oil products and chemicals,Pipeline gas,Coal,LNG,Crude oil qty,Oil products and chemicals qty,Pipeline gas qty,Coal qty,LNG qty
default,v2,USD60/bbl (actual),14/01/2022,value_eur,367309529.40,242130324.70,266305016.30,52760597.19,100919265.70,760461.01,398207.69,266574.55,425201.35,106270.23
default,v2,USD60/bbl (actual),15/01/2022,value_eur,346750288.20,232736461.30,264283871.80,52818988.01,111022507.60,715961.83,383756.91,265740.49,426824.42,116122.60
default,v2,USD60/bbl (actual),16/01/2022,value_eur,350243595.30,243244950.30,262801112.60,55292807.77,107939375.30,718552.96,396420.83,265471.87,446861.28,111582.49
default,v2,USD60/bbl (actual),17/01/2022,value_eur,346322648.90,238817533.50,262332785.30,53684222.27,99134448.80,707307.31,389294.88,266110.97,433671.57,101832.35
default,v2,USD60/bbl (actual),18/01/2022,value_eur,337218737.80,243148303.60,261405553.30,51765705.24,102648512.80,685625.43,402726.04,266562.46,416924.28,102410.44
default,v2,USD60/bbl (actual),19/01/2022,value_eur,338061076.60,238018530.80,260061133.10,50335424.59,98651735.08,683994.11,393981.77,266899.05,405247.14,97745.82
default,v2,USD60/bbl (actual),20/01/2022,value_eur,335825279.20,242353550.40,258626648.40,50830763.12,89179667.48,676678.32,398759.53,267125.66,409655.92,86212.28
default,v2,USD60/bbl (actual),21/01/2022,value_eur,341908874.60,241526620.00,256932651.50,52434954.78,87976365.01,683568.73,398975.75,267600.65,422529.35,85789.46
default,v2,USD60/bbl (actual),22/01/2022,value_eur,347871532.90,231793356.40,254886679.00,52833698.71,88344818.79,690687.50,381708.59,268013.62,423829.35,86106.06
default,v2,USD60/bbl (actual),23/01/2022,value_eur,351296169.90,226920411.70,252322121.20,54295175.51,90864766.22,693741.33,374878.86,268195.64,434966.07,90414.36
default,v2,USD60/bbl (actual),24/01/2022,value_eur,350014349.80,231743653.60,249966687.30,57201925.96,86337644.11,687941.48,385122.91,268965.98,458443.71,85144.46
default,v2,USD60/bbl (actual),25/01/2022,value_eur,360108596.80,223596693.80,248011152.30,59466993.34,75546915.91,704125.52,370797.31,270114.52,477939.42,74799.59
default,v2,USD60/bbl (actual),26/01/2022,value_eur,375651647.50,218220384.40,245923846.30,57697809.43,89572832.18,728457.94,362802.73,271501.60,463863.57,90548.51
default,v2,USD60/bbl (actual),27/01/2022,value_eur,381028502.50,215591753.90,244579145.20,59027820.17,89111399.21,733526.67,360565.40,273642.20,473396.00,90587.87
default,v2,USD60/bbl (actual),28/01/2022,value_eur,378976830.20,211244977.20,242302155.10,58792118.14,65607188.45,726835.23,349318.77,274652.38,470804.28,70317.11
default,v2,USD60/bbl (actual),29/01/2022,value_eur,398148130.70,218332886.30,240198594.60,59910042.05,61514611.86,756098.23,359339.66,275682.59,477964.21,66024.89
default,v2,USD60/bbl (actual),30/01/2022,value_eur,389628438.50,211769214.40,238019429.70,55969112.16,71482479.52,736119.27,351481.43,276388.22,444743.92,76461.15
default,v2,USD60/bbl (actual),31/01/2022,value_eur,388913455.70,214406805.70,236069745.00,56174364.65,67955802.13,731856.51,362022.17,277235.22,445290.92,71864.83
default,v2,USD60/bbl (actual),01/02/2022,value_eur,412637037.90,202716201.00,237276053.70,57315419.11,69573997.86,771179.66,333853.13,281209.23,451158.25,76370.58
default,v2,USD60/bbl (actual),02/02/2022,value_eur,418650281.80,204359669.00,237550081.70,57638133.96,71798376.78,776474.15,335338.46,284206.98,450141.15,80300.99
default,v2,USD60/bbl (actual),03/02/2022,value_eur,412486132.60,199340480.80,238002324.10,61515109.89,77484928.22,760759.09,328555.73,287087.15,476423.69,86413.52
default,v2,USD60/bbl (actual),04/02/2022,value_eur,403600101.10,196874020.70,238043268.10,60856601.15,77126713.75,743662.80,318855.19,289281.69,469965.30,86536.51
default,v2,USD60/bbl (actual),05/02/2022,value_eur,405307017.80,209288587.50,239090280.10,62331984.93,81683073.77,743269.36,336364.25,292035.03,482259.27,91481.74
default,v2,USD60/bbl (actual),06/02/2022,value_eur,413609273.40,210424550.90,240823175.60,59455514.81,72319967.42,753109.59,333671.46,295162.98,459465.03,81929.90
default,v2,USD60/bbl (actual),07/02/2022,value_eur,407066381.60,221221674.80,241880844.20,55962145.34,75092370.80,739950.66,348016.45,297296.38,429852.85,86660.49
default,v2,USD60/bbl (actual),08/02/2022,value_eur,383442662.50,225192188.70,242422645.80,56172042.07,83425709.60,693781.44,355558.26,298599.39,428258.47,97086.53
default,v2,USD60/bbl (actual),09/02/2022,value_eur,372669929.30,225791096.80,241797029.40,58383729.45,72427098.60,672470.24,352761.48,298526.15,445061.29,86037.43
default,v2,USD60/bbl (actual),10/02/2022,value_eur,351542285.20,231294117.10,240109720.40,60241103.40,79133488.54,632287.26,356107.91,297490.38,456855.91,92240.48
default,v2,USD60/bbl (actual),11/02/2022,value_eur,373942305.00,236818295.20,238906036.90,59676342.40,79133488.54,666890.42,367683.44,296802.80,449854.59,92240.48
default,v2,USD60/bbl (actual),12/02/2022,value_eur,362744660.50,232087177.40,238077966.70,57581843.11,76023085.81,644772.39,359525.83,296401.94,433410.85,91229.81
default,v2,USD60/bbl (actual),13/02/2022,value_eur,381913230.70,231612474.50,237524511.60,60426852.62,74028315.74,674971.14,357693.62,296337.50,451553.74,90893.81
default,v2,USD60/bbl (actual),14/02/2022,value_eur,383876144.70,233478233.60,237268307.60,61363756.49,78744107.28,675851.79,353490.35,296488.92,456690.07,96083.61
default,v2,USD60/bbl (actual),15/02/2022,value_eur,374763289.00,246468890.50,235061329.90,60787934.31,75243913.03,657227.17,375875.29,294358.43,452770.07,91543.50
default,v2,USD60/bbl (actual),16/02/2022,value_eur,364266416.30,255631023.90,232353334.10,62796615.17,72736415.44,637371.35,384802.19,291717.81,468318.79,87490.94
default,v2,USD60/bbl (actual),17/02/2022,value_eur,368982765.40,267628700.40,229800779.60,59252057.78,71599867.76,643967.74,403320.54,289221.74,442499.29,86690.66
