pricing_scenario,version,pricing_scenario_name,date,variable,EU,China,Others,India,Turkey,South Korea,United States,United Kingdom
default,v2,USD60/bbl (actual),2022-01-14,value_eur,592125506.5179195,174134015.19086355,92403575.3758886,8890512.714242144,72699010.99398029,39659047.34462174,16246632.610329429,33266432.519051664
default,v2,USD60/bbl (actual),2022-01-15,value_eur,577289908.3514822,171524743.93017653,94369270.0506204,11654823.838495856,69386309.32492113,39681071.63363888,16246632.610329429,27459357.265172374
default,v2,USD60/bbl (actual),2022-01-16,value_eur,581692935.9161123,175015201.84002027,96612035.80936608,11468387.478495857,67414154.12161557,41485640.790509954,14119386.314855142,31714099.055480428
default,v2,USD60/bbl (actual),2022-01-17,value_eur,575793176.142944,163702634.29932377,104098837.92744984,11145109.817924429,65972269.46632616,36394123.38425289,14119386.314855142,29066101.417134266
default,v2,USD60/bbl (actual),2022-01-18,value_eur,582642923.9568491,157940968.666132,105267357.1776245,11082337.531406859,62963953.10470509,31559077.41056239,15663657.323477356,29066537.60073925
default,v2,USD60/bbl (actual),2022-01-19,value_eur,584473175.0116396,151136910.29992485,104126469.91393931,11974206.154264,62568472.7143878,34091146.5156231,14180060.14915907,22577459.313185196
default,v2,USD60/bbl (actual),2022-01-20,value_eur,576176254.8274823,139597721.83472776,105847583.1363163,11804908.81840686,67772207.0527646,37389137.23808311,16064504.613758355,22163591.08312838
default,v2,USD60/bbl (actual),2022-01-21,value_eur,571741090.1056919,147098628.12576655,108896356.61840965,10003297.893349856,68601976.75378776,37743655.06392417,17585773.876065213,19108687.43993854
default,v2,USD60/bbl (actual),2022-01-22,value_eur,577721620.5804918,154356688.2230083,98772540.69827282,10003297.893349856,63703120.422458716,38024415.58256703,17585773.876065213,15562628.507520625
default,v2,USD60/bbl (actual),2022-01-23,value_eur,580651441.9627883,156648874.96139,99735909.35210976,14459991.201502357,58072706.582696475,34805435.69928282,14800279.585051073,16524005.132756528
default,v2,USD60/bbl (actual),2022-01-24,value_eur,571219833.3338821,163572373.5203797,96133072.5207249,14948863.39693093,57515847.872900955,38524222.81502275,15543823.602694929,17806223.672776345
default,v2,USD60/bbl (actual),2022-01-25,value_eur,562529294.1917837,166530164.31669146,88937823.3320353,14948863.39693093,58969333.887843505,41464114.69852697,15543823.602694929,17806934.707520057
default,v2,USD60/bbl (actual),2022-01-26,value_eur,582824353.8553313,175965755.50995484,82517071.30207598,14240083.783216642,54791663.14439763,44217966.44747411,14702549.286495,17807076.411289655
default,v2,USD60/bbl (actual),2022-01-27,value_eur,566637778.111534,180261265.41573814,93582527.70410664,13277696.657097144,62230725.987722196,40183559.21703152,17234612.239902712,15930455.685119998
default,v2,USD60/bbl (actual),2022-01-28,value_eur,539951169.5024807,178418837.67943433,93155722.35374165,13277696.657097144,62584448.002561964,40691080.59392917,17525659.995793786,11318654.306878384
default,v2,USD60/bbl (actual),2022-01-29,value_eur,536189186.2822751,187733905.52201954,90407154.35958816,11233740.888557715,65053638.008306846,47818222.19830131,18874900.354471784,20793517.928083744
default,v2,USD60/bbl (actual),2022-01-30,value_eur,528287201.7667899,180409646.59455642,94216114.71490666,15710787.832636574,64789792.43545281,45656067.7208151,19697790.756162286,18101272.393313173
default,v2,USD60/bbl (actual),2022-01-31,value_eur,523902482.67066675,181774252.01021463,92697084.31163113,16248364.533208001,64595185.09184984,42195569.544926934,23778138.996898357,18329096.025040757
default,v2,USD60/bbl (actual),2022-02-01,value_eur,536420624.66092616,188398706.3964284,91845193.45070986,14509525.894668574,64387881.922467306,43394249.18564301,22233867.988276143,18328660.20598509
default,v2,USD60/bbl (actual),2022-02-02,value_eur,531613091.3922338,195881623.3631437,97369976.86871812,13475961.77124,68678109.89828517,40862180.0805823,22233867.988276143,19881731.88454237
default,v2,USD60/bbl (actual),2022-02-03,value_eur,541484665.1580852,194170601.11397228,96644299.56919101,13888915.916240001,61646791.27292565,37447509.91908007,23665297.744532857,19880895.01067459
default,v2,USD60/bbl (actual),2022-02-04,value_eur,545017494.4858664,181543780.03888842,99702268.40329112,14417977.837382859,60534384.66814409,37337290.89658036,18048137.214123286,19899371.185303576
default,v2,USD60/bbl (actual),2022-02-05,value_eur,558806369.2063321,178970332.73168916,101783064.17233625,14417977.837382857,61063509.00497849,36937744.31672321,22185939.635722786,23536007.163693078
